타임스탬프,본인의 MBTI 유형을 알고 계시다면 작성해 주세요. , Q1. 도슨트 로봇의 설명 시작 방식에 대한 선호도  ,Q1에서 문항을 선택한 이유,"  Q2. 도슨트 AI 로봇이 그림 앞에서 자동으로 음성 설명을 들려주는 기능이 있다면, 어떤 방식으로 듣고 싶으신가요?  ",Q2에서 문항을 선택한 이유,Q3. 무선 이어폰 연결 방식에 대한 선호도 ,Q3에서 문항을 선택한 이유,"  Q4. 도슨트 AI 로봇과 상호작용할 수 있다면, 어떤 방식이 가장 편하신가요?  ",Q4에서 문항을 선택한 이유,"Q5. 도슨트 AI 로봇이 사진을 찍어주는 기능이 있다면, 이용할 때의 장점",추가 의견이 있으시다면 자유롭게 작성해주세요. ,
2025/04/13 6:46:23 오후 GMT+9,INTP,관람객이 요청하거나 버튼/앱을 눌렀을 때만 설명하는 방식,듣고 싶은 타이밍에 듣는 것이 제일 나을 것 같다고 생각해서,무선이어폰으로 개별 청취,듣고 싶은 사람만 들으면 되기 때문,도슨트 로봇에 바로 블루투스 연결,빠르고 편리하게 앱을 설치 하지 않고도 들을 수 있기 때문,화면 터치를 통한 조작,음성 명령은 인식을 잘 못할 것 같고 스마트폰 앱을 통하려면 선제조건이 있어야 할 것 같아서,이벤트성으로 추억을 남길 수 있다(?),,
2025/04/13 6:48:37 오후 GMT+9,INTJ,로봇이 자동으로 설명을 시작하는 방식,,로봇 내장 스피커로 청취,,개인 스마트폰 앱을 통한 연결,,화면 터치를 통한 조작,,혼자 박물관에 방문해도 본인 사진을 찍을 수 있다는 점,,
2025/04/13 7:12:19 오후 GMT+9,INFP,관람객이 요청하거나 버튼/앱을 눌렀을 때만 설명하는 방식,,로봇 내장 스피커로 청취,,개인 스마트폰 앱을 통한 연결,,스마트폰 앱을 통한 조작,,추억사진?,,
2025/04/13 7:52:07 오후 GMT+9,ISTP,상황에 따라 선택할 수 있는 옵션이 제공,,로봇 내장 스피커로 청취,,개인 스마트폰 앱을 통한 연결,,스마트폰 앱을 통한 조작,,다른 사람한테 사진을 찍어달라고 할 필요가 없어진다,,
2025/04/13 9:19:48 오후 GMT+9,isfp,관람객이 요청하거나 버튼/앱을 눌렀을 때만 설명하는 방식,,무선이어폰으로 개별 청취,,도슨트 로봇에 바로 블루투스 연결,,화면 터치를 통한 조작,,모르겠음,,
2025/04/13 9:27:16 오후 GMT+9,isfp,관람객이 요청하거나 버튼/앱을 눌렀을 때만 설명하는 방식,원할때만 설명 듣고 싶다!,무선이어폰으로 개별 청취,다함께 들으면 잘 못알아들을 것 같다,도슨트 로봇에 바로 블루투스 연결,앱깔기 귀찮을것같다,화면 터치를 통한 조작,음성명령은 약간 부끄러울듯..,Sns에 올릴것 같다,없어용,
2025/04/13 9:51:14 오후 GMT+9,INFJ,상황에 따라 선택할 수 있는 옵션이 제공,기능이 필요에 의해서만 작동해야 불편함 없이 사용 가능,로봇 내장 스피커로 청취,"로봇 내장 스피커로 사용할 경우 주위 사람들이 청취 가능하며 그림 앞에 있지 않고 거리가 있는 곳에 있어도 청취 가능하며, 해당 기능을 인지할 수 있음",내장 스피커,보안 문제나 블루투스 연결 및 끊기가 번거로울 수 있음,화면 터치를 통한 조작,"모든 기능하면 좋지만, 해당 기능을 사용하는 유형에서 가장 취약한 대상이 노인 및 어린아이 일 경우를 대비하여 가장 선택 가능하기 편한 방식인 화면 터치 방식이 좋다고 생각함 키오스크도 화면 터치 기능을 사용하는 것 처럼",해당 장소를 방문 했다는 추억을 남길 수 있음,5번 단점 초상권 침해가 우려됨,
2025/04/13 10:04:14 오후 GMT+9,ENFP,상황에 따라 선택할 수 있는 옵션이 제공,다양하고 모든 상황에따라 '나만의 방식'을 고려할 수 있는 옵션이 제공된다면 좋겠다고 생각합니다.,로봇 내장 스피커로 청취,만약에 제가 보고 있는 도슨트 로봇이 그림을 통해 음성설명을 내장스피커를 통해 바로 들려준다면 그림을 보면서 한눈에 이해하기 쉬울거 같았습니다. ,개인 스마트폰 앱을 통한 연결,,스마트폰 앱을 통한 조작,스마트폰 앱을 통한 조작이 익숙해서.,"기록과 보관, 교육, 취미 등 다양한 분야에서 활용할 수 있다.",,
2025/04/13 10:05:32 오후 GMT+9,Infp,상황에 따라 선택할 수 있는 옵션이 제공,,무선이어폰으로 개별 청취,,도슨트 로봇에 바로 블루투스 연결,,스마트폰 앱을 통한 조작,,잘 모르겠음,,
2025/04/13 10:10:11 오후 GMT+9,ENFP,상황에 따라 선택할 수 있는 옵션이 제공,,로봇 내장 스피커로 청취,,도슨트 로봇에 바로 블루투스 연결,,음성 명령으로 대화,,,,
2025/04/13 10:14:49 오후 GMT+9,Esff t ,관람객이 요청하거나 버튼/앱을 눌렀을 때만 설명하는 방식,,무선이어폰으로 개별 청취,,도슨트 로봇에 바로 블루투스 연결,,화면 터치를 통한 조작,,,,
2025/04/13 10:20:49 오후 GMT+9,ISTP,상황에 따라 선택할 수 있는 옵션이 제공,"일단 기본적으로 자동 설명 방식을 사용하면 버튼을 눌러 재생시키는 것에 어색한 나이드신 분들도 설명을 쉽게 들을 수 있을것 같다.
또한 부분적으로 버튼/앱을 통해 자신이 원하는 곳을 다시 재생시킬수 있게 한다면, 자신이 못 들었거나 해서 다시 듣고 싶은 부분을 들을수 있어 좋다.","로봇 내장 스피커를 기본으로 하되, 원하는 사람은 자신의 이어폰에 연결 가능한 방법","로봇 내장 스피커를 기본으로 하면서, 원하는 사람은 선택적으로 자신의 무선이어폰과 연결해서 들을 수 있게 하면 주변 소음이 신경 쓰이고 혼자 조용히(노이즈캔슬링 등) 듣고 싶은 사람에게 도움이 될것 같다.",개인 스마트폰 앱을 통한 연결,"그럴 일은 없겠지만 아무래도 외부기기에 연결을 꺼려하거나 걱정하는 사람들도 있을 수 있기에 개인 스마트폰 연결이 좋을 것 같다.
또한, 개인 스마트폰에 연결하는 방법은 대부분의 사람들이 이미 숙지하고 있어 그자리에 설명서가 없어도 가능할것이기 때문이다.","음성 명령을 기본으로 하고, 스마트폰 앱을 통한 조작도 가능하게?",,"박물관, 미술관 등 방문하고 레포트를 써야할 때 인증 사진 가능...?",준호 화이팅 ㅎ,
2025/04/13 10:27:51 오후 GMT+9,ESNJ,관람객이 요청하거나 버튼/앱을 눌렀을 때만 설명하는 방식,작품을 감상할 때 방해받고 싶지 않아서 필요할 때 직접 버튼을 누르거나 앱으로 설명을 듣는 게 더 편할 것 같아요. 이렇게 하면 제가 원하는 타이밍에 설명을 들을 수 있어서 집중도 잘 돼요.,로봇 내장 스피커로 청취,"전시 관람할 때 이어폰을 따로 챙기지 않는 경우가 많고, 로봇 스피커로 들으면 같이 온 사람과도 설명을 함께 들을 수 있어서 좋아요. 단, 다른 관람객에게 방해되지 않도록 적당한 볼륨 조절은 필요할 것 같아요.",도슨트 로봇에 바로 블루투스 연결,"앱을 따로 설치하지 않아도 되고, 로봇에 블루투스로 바로 연결하는 방식이 더 간편하고 빠를 것 같아요. 특히 단기 방문자나 외국인 관람객에게도 유용할 것 같아요",화면 터치를 통한 조작,화면을 터치해서 조작하는 게 더 직관적이고 조용한 박물관 환경에서도 편하게 사용할 수 있을 것 같아요. 음성 명령보다는 정확하게 원하는 메뉴를 선택할 수 있어서 좋아요,"혼자 관람하러 갔을 때도 작품과 함께 멋진 사진을 남길 수 있어서 좋아요. 다른 사람에게 부탁하지 않아도 되고, 로봇이 좋은 구도로 찍어주면 추억을 더 예쁘게 기록할 수 있을 것 같아요",,
2025/04/13 10:28:16 오후 GMT+9,네 알고 있어요,상황에 따라 선택할 수 있는 옵션이 제공,최대의 효율적으로 ,로봇 내장 스피커로 청취,편리함,도슨트 로봇에 바로 블루투스 연결,사용히기 쉬어서 ,음성 명령으로 대화,빨라서 ,있면 사용자들이 많아짐,의견이 많아서 여기 얘기할 건 충분하지 않음,
2025/04/13 10:28:43 오후 GMT+9,INFJ,상황에 따라 선택할 수 있는 옵션이 제공,필요한 내용만 설명을 듣는다면 시간 절약과 함께 로봇 이용에 대한 회전율도 빠를 거 같음,무선이어폰으로 개별 청취,그림이 한 공간에 하나만 있는 것은 아니기때문에 다른 그림에 대한 설명 오디오가 겹치거나 관람에 방해가 될 수 있을 거 같음,개인 스마트폰 앱을 통한 연결,연결 오류 등의 문제를 해결하기에는 개인 스마트폰이 좋을 듯해서,스마트폰 앱을 통한 조작,관람객끼리의 관람 시점이 다를 수 있고 동선의 자유도를 위해 개인 스마트폰이 좋을 거 같음,"모든 일행이 나오도록 사진을 찍어야할 때, 보통 다른 관람객에게 부탁하게 되는데 서로의 관람을 방해하지 않고 사진을 찍을 수 있는 부분이 장점이라고 생각함",,
2025/04/13 10:31:40 오후 GMT+9,INFP,상황에 따라 선택할 수 있는 옵션이 제공,편하기 때문이다,무선이어폰으로 개별 청취,무선 이어폰을 쓰면 주변 사람에게 영향을 미치지 않다,개인 스마트폰 앱을 통한 연결,,스마트폰 앱을 통한 조작,,혼자도 사진을 찍을 수 이다. 다른 사람의 도움이 필요없다,,
2025/04/13 10:37:48 오후 GMT+9,isfp,상황에 따라 선택할 수 있는 옵션이 제공,상황에 따라 유연하게 사용하고 싶음,로봇 내장 스피커로 청취,편리함,개인 스마트폰 앱을 통한 연결,다수가 동시에 듣기 좋음,화면 터치를 통한 조작,편하고 빠름,누군가에게 부탁하지 않아도 됨,없음,
2025/04/13 11:55:55 오후 GMT+9,ISTJ,상황에 따라 선택할 수 있는 옵션이 제공,편하게 이용할 수 있음 ,무선이어폰으로 개별 청취,다른 사람의 소음에 방해받지 않고 더욱 집중해서 설명을 들을 수 있을 것 같아서,개인 스마트폰 앱을 통한 연결,이어폰의 음량이나 설정을 조절하기 쉽고여러 기기 간 연결을 보다 유연하게 관리할 수 있어서,화면 터치를 통한 조작,화면을 직접 터치하여 직관적으로 명령을 내릴 수 있어서 ,편리함,,
2025/04/14 12:22:36 오전 GMT+9,ISFP,관람객이 요청하거나 버튼/앱을 눌렀을 때만 설명하는 방식,편하다,무선이어폰으로 개별 청취,편하다,개인 스마트폰 앱을 통한 연결,편하다,음성 명령으로 대화,편하다,없음,옶음,
2025/04/14 2:28:17 오전 GMT+9,INFJ,로봇이 자동으로 설명을 시작하는 방식,"로봇이 자동으로 설명을 시작하는 방식이 더 편리하고 직관적이라고 생각한다. 관람객이 별도로 조작하지 않아도 되어 접근성이 높고, 누구나 쉽게 정보를 얻을 수 있기 때문이다.
",로봇 내장 스피커로 청취,로봇 내장 스피커로 설명을 들으면 별도의 장비 없이도 누구나 쉽게 설명을 들을 수 있어서 편리하다고 생각한다. 특히 단체 관람이나 짧은 시간 안에 많은 사람들이 이용할 경우 효율적이기 때문이다.,개인 스마트폰 앱을 통한 연결,앱을 통해 연결하면 사용자 맞춤 설정이나 정보 저장 기능 등 다양한 기능을 활용할 수 있어 더 유용하다고 생각한다.,음성 명령으로 대화,음성 명령을 통해 대화하는 방식이 가장 직관적이고 손을 사용하지 않아도 되어 편리하다고 생각한다. 전시 관람 중 손이나 시선을 다른 데로 돌리지 않아도 되므로 몰입감 있는 관람이 가능하다.,,,
2025/04/14 3:23:54 오전 GMT+9,esfj,관람객이 요청하거나 버튼/앱을 눌렀을 때만 설명하는 방식,나에게 불필요한 설명을 생략할 수 있어서 혹은 나에게 필요한 설명만 제공받을 수 있어서,로봇 내장 스피커로 청취,단체로 설명을 들어야할 때 편리할 것 같음,도슨트 로봇에 바로 블루투스 연결,덜 번거롭고 더 빠르게 연결할 수 있을 것 같음,화면 터치를 통한 조작,"다른 문항보다 편해서 (음성명령-음성인식오류 가능성, 스마트폰 앱-스마트폰 소지 필수 번거로움)",사진으로 기록할 수 있어서 그 순간을 간직하기 좋음,설명을 음성으로 들려주는 기능 뿐만아니라 자막같이 글로 보여주는 기능도 있으면 좋을 것 같아요,
2025/04/14 3:26:31 오전 GMT+9,,상황에 따라 선택할 수 있는 옵션이 제공,로봇기능이 가능한 일이 있고 불가능한 일이 있기 때문입니다.,로봇 내장 스피커로 청취,스피커가 듣기 좋아서,개인 스마트폰 앱을 통한 연결,스마트폰으로 하면 본인이 손으로 컨트롤도 가응하기 때문,스마트폰 앱을 통한 조작,조작옵션이 있기때문,단체사진,,
2025/04/14 3:43:28 오전 GMT+9,Istj,로봇이 자동으로 설명을 시작하는 방식,몰라여,무선이어폰으로 개별 청취,몰라요,도슨트 로봇에 바로 블루투스 연결,몰라요,화면 터치를 통한 조작,몰라요,몰라요,몰라요,
2025/04/14 10:08:36 오전 GMT+9,ISTP,상황에 따라 선택할 수 있는 옵션이 제공,필요한 내용만 듣고싶음,무선이어폰으로 개별 청취,남들과 사운드 겹치고싶지 않음,개인 스마트폰 앱을 통한 연결,,스마트폰 앱을 통한 조작,제일 편할거같아서,,,
2025/04/14 10:12:18 오전 GMT+9,ENTP,관람객이 요청하거나 버튼/앱을 눌렀을 때만 설명하는 방식,개개인마다 궁금한 작품만 부연설명을 듣는 것이 감상에 방해되지 않을 것으로 생각됨,무선이어폰으로 개별 청취,Q1과 비슷한 맥락으로 사람마다 작품에 대해 궁금한 점이나 배경지식등의 차이가 있기때문,도슨트 로봇에 바로 블루투스 연결,앱은 귀찮아서 사람들이 이용하지 않을 듯,화면 터치를 통한 조작,,1인 관람시에 유용할 듯,"현재 박물관이나 미술관에도 전용 이어폰이나 헤드셋으로 작품에 대한 설명을 들을 수 있는것으로 아는데 이와 차별된 점이 필요할 듯.
ChatGpt같은 기능이 되어있는 로봇이 현장에서 설명해줘서 서로 상호작용이 되는 시스템이라면 긍정적으로 보임.",
2025/04/14 10:40:24 오전 GMT+9,entj,상황에 따라 선택할 수 있는 옵션이 제공,"사람이 하는 시간대 별 도슨트를 선호하는 건 상황에 따른 유동적 반응과 별도의 조작이 필요 없는 편의성이라고 생각함. 따라서 사람을 대체 하는게 주요한 문제이고, 이는 iot와 접목하여 해당 전시물에 접근 시 자동 재생을 하거나 도슨트를 듣겠냐는 알럿 메세지 등으로 알림이 오는 등의 사용자 편의성이 중요하다고 생각됨. 또한 관람객이 꼭 전시물을 순서대로 볼거란 보장이 없음.. ",로봇 내장 스피커로 청취,무선 이어폰을 대여하지 않는 이상 모든 관람객이 이어폰을 소지하고 있어야 하는 문제가 있어서,개인 스마트폰 앱을 통한 연결,블루투스 생각보다 오래 걸려서 번거로움,화면 터치를 통한 조작,가장 직관적임. 고령자나 음성을 내지 못하는 사람이 쓰기에도 화면 터치가 가장 적절하다고 생각됨,"관람객입장에서는 크게 유의미하지 않다고 생각됨. 대부분의 전시물은 사진 촬영이 불가능하고, 촬영이 가능하다면 단체사진찍기나 자연스러운 관람객의 모습을 남길 수 있다 정도 / 사용할 업체 입장에서는 보안 관련 문제에 장단이 있을 거 같은데 파손이나 기타 전시물 안전에 관해서 감시 카메라를 대체할 수 있을 거 같음 단점은 관람객이 불쾌해 할 수 있어서 도슨트 시작 전에 안내메세지를 출력하거나, 기능을 on/off 할  수 있도록 해야할듯","단순 작품에 대한 설명만 늘어놓는 AI보다는 관람객이 작품에 관한 질문을 할 수 있다던지, 반대로 작품에 관한 의견을 관람객에게 묻는다던지 하는 상호작용 기능이 다양하게 있다면 재밌을 거 같아요 개인적으로 도슨트를 들을 때 작품에 관한 단편적 사실보다는 당시의 시대상이나 작가의 삶에 대해 자세한 설명과 알지 못하던 내용을 알려줘서 재밋고 오디오 대여보다 선호하는데 이 부분을 대체할 수 있다면 유용할 거 같습니다.",
2025/04/14 10:57:38 오전 GMT+9,ISTP,관람객이 요청하거나 버튼/앱을 눌렀을 때만 설명하는 방식,다른로봇이랑 겹치면 관람방해,무선이어폰으로 개별 청취,다른 로봇이랑 겹치면 관람방해,도슨트 로봇에 바로 블루투스 연결,앱으로 하는건 확실히 귀찮음,화면 터치를 통한 조작,많은 관람객 사이에서 음성 인식의 불확실성,젊은 인스타 사용 관람객의 흥미 유도,화이팅ㅎ,
2025/04/14 11:45:53 오전 GMT+9,INFP,관람객이 요청하거나 버튼/앱을 눌렀을 때만 설명하는 방식,자꾸 따라다니면 부담스럽습니다.,로봇 내장 스피커로 청취,귀에 무언가 있으면 답답할 것 같습니다.,굳이 앱까지 활용하면서 들을 필요가 있을까 생각이 듭니다.,.,화면 터치를 통한 조작,휴대폰으로 무언가 하는 것보다 바로 앞에 있는 아이가 접근성 면에서나 휴대폰 앱을 설치하지 않아도 된다는 장점.,,,
2025/04/14 11:51:15 오전 GMT+9,,관람객이 요청하거나 버튼/앱을 눌렀을 때만 설명하는 방식,"관람의 자율성: 관람객이 보고 싶은 전시를 자신만의 속도로 자유롭게 감상할 수 있어요. 원하지 않을 때 자동으로 설명이 시작되면 집중이 흐트러질 수 있기 때문이죠.
소음 최소화: 자동 설명이 계속 재생되면 주변이 시끄러울 수 있는데, 필요한 경우에만 설명을 들을 수 있어 조용한 관람 환경을 유지할 수 있습니다.
",무선이어폰으로 개별 청취,"주변 소음 없이 몰입해서 설명을 들을 수 있고, 다른 관람객에게 방해를 주지 않아서입니다.",개인 스마트폰 앱을 통한 연결,"스마트폰으로 연결하면 익숙하고 안정적으로 사용할 수 있으며, 앱을 통해 볼륨 조절이나 설명 반복 재생 등 추가 기능도 활용할 수 있기 때문입니다.",스마트폰 앱을 통한 조작,"개인 스마트폰은 익숙하고 사용이 편리하며, 앱을 통해 다양한 기능을 손쉽게 제어하거나 개인화된 설정을 할 수 있기 때문입니다.
또한, 음성이나 터치보다 정확하고 조용하게 조작할 수 있는 점도 장점입니다.","혼자서도 편리하게 사진을 찍을 수 있고, 로봇이 최적의 구도로 전시 공간에 맞게 촬영해줘 고품질의 사진을 쉽게 얻을 수 있기 때문입니다.",없습니다,
2025/04/14 3:14:11 오후 GMT+9,Isfp,관람객이 요청하거나 버튼/앱을 눌렀을 때만 설명하는 방식,자동설명하면 사람 지나갈때마다 말할테니 시끄러워서,무선이어폰으로 개별 청취,시끄러우면 작품감상에 방해되니까,도슨트 로봇에 바로 블루투스 연결,앱깔기 귀찮음 굳이 그렇게까지하면서 설명 듣고싶지않음,화면 터치를 통한 조작,앱은 귀찮고 음성은 발음 이슈,필요없는디요,사진 안찍어도 됭,
2025/04/15 1:20:55 오후 GMT+9,,관람객이 요청하거나 버튼/앱을 눌렀을 때만 설명하는 방식,원하는 고객들에 한해 설명 가능,로봇 내장 스피커로 청취,개별 이어폰을 소장하지 못하고 오더라도 청취 가능,개인 스마트폰 앱을 통한 연결,다수의 인원이 한 기기에 연결했을 경우 발생되는 보안취약 등의 문제,음성 명령으로 대화,,기념 및 추억소장,,
2025/04/15 8:40:08 오후 GMT+9,,상황에 따라 선택할 수 있는 옵션이 제공,,로봇 내장 스피커로 청취,,도슨트 로봇에 바로 블루투스 연결,,음성 명령으로 대화,,,,
2025/04/16 1:25:56 오전 GMT+9,INFP,로봇이 자동으로 설명을 시작하는 방식,빠르게 로봇의 정보 알 수 있어서,로봇 내장 스피커로 청취,더 효과적인 성능 바로 확인 할 수 있어서,개인 스마트폰 앱을 통한 연결,"주인이 스스로 원격 조절 가능, 편리함 좋음",음성 명령으로 대화,멀리 있을 때도 이용 가능,기록 남길 수 있는 기능 활성화,,
